5D358CDAED0D
source,time,hwid,type,samples,maxRSSI,mean,stddev
5D358CDAED0D,1502473377,F9632B2DFC58,2,28,-74,-77.0,1.5396
5D358CDAED0D,1502473437,9A34ECDEA99E,2,30,-57,-57.7333,0.520831
5D358CDAED0D,1502473437,6392B6C5FB53,2,29,-42,-43.7241,0.527564
5D358CDAED0D,1502473437,459F7A08D5D7,2,29,-66,-67.6207,1.54489
5D358CDAED0D,1502473437,DAD655CD510A,2,29,-54,-54.8621,0.693035
5D358CDAED0D,1502473497,9A34ECDEA99E,2,28,-58,-59.4643,0.881167
5D358CDAED0D,1502473497,6392B6C5FB53,2,28,-43,-43.9643,0.428793
5D358CDAED0D,1502473497,DAD655CD510A,2,30,-53,-54.7333,1.46059
5D358CDAED0D,1502473497,F9632B2DFC58,2,28,-72,-74.8214,2.53937
5D358CDAED0D,1502473857,9A34ECDEA99E,2,29,-57,-57.5517,0.50612
5D358CDAED0D,1502473857,6392B6C5FB53,2,30,-43,-43.7667,0.678911
5D358CDAED0D,1502473857,459F7A08D5D7,2,28,-64,-66.3929,0.737327
5D358CDAED0D,1502473857,F9632B2DFC58,2,28,-71,-73.7143,2.0702
5D358CDAED0D,1502473917,9A34ECDEA99E,2,28,-57,-57.25,0.440959
5D358CDAED0D,1502473917,6392B6C5FB53,2,28,-44,-44.0,0.0
5D358CDAED0D,1502473917,459F7A08D5D7,2,30,-66,-66.2,0.406841
5D358CDAED0D,1502473917,DAD655CD510A,2,30,-54,-54.2667,0.52083
5D358CDAED0D,1502473977,9A34ECDEA99E,2,30,-57,-58.0667,0.449776
5D358CDAED0D,1502473977,6392B6C5FB53,2,29,-44,-44.0,0.0
5D358CDAED0D,1502473977,459F7A08D5D7,2,29,-65,-67.7586,1.52725
5D358CDAED0D,1502473977,DAD655CD510A,2,28,-54,-54.4286,0.572749
5D358CDAED0D,1502474037,9A34ECDEA99E,2,27,-57,-58.2963,0.668801
5D358CDAED0D,1502474037,6392B6C5FB53,2,30,-43,-44.0667,0.583292
5D358CDAED0D,1502474037,459F7A08D5D7,2,29,-65,-66.931,0.923157
5D358CDAED0D,1502474037,DAD655CD510A,2,29,-54,-54.4138,0.50123
5D358CDAED0D,1502474097,9A34ECDEA99E,2,29,-57,-57.1724,0.384426
5D358CDAED0D,1502474097,6392B6C5FB53,2,29,-44,-44.0345,0.185695
5D358CDAED0D,1502474097,459F7A08D5D7,2,28,-66,-67.8571,0.931519
5D358CDAED0D,1502474097,DAD655CD510A,2,28,-54,-54.0357,0.188982
5D358CDAED0D,1502474157,9A34ECDEA99E,2,28,-57,-57.0357,0.188982
5D358CDAED0D,1502474157,6392B6C5FB53,2,29,-44,-44.069,0.257881
5D358CDAED0D,1502474157,459F7A08D5D7,2,30,-67,-68.3667,0.668676
5D358CDAED0D,1502474157,DAD655CD510A,2,30,-54,-54.0,0.0
5D358CDAED0D,1502474217,9A34ECDEA99E,2,29,-54,-56.8621,0.580894
5D358CDAED0D,1502474217,6392B6C5FB53,2,29,-44,-44.1379,0.350931
5D358CDAED0D,1502474217,459F7A08D5D7,2,27,-66,-68.3333,1.68705
5D358CDAED0D,1502474217,DAD655CD510A,2,30,-53,-54.2,0.484234
5D358CDAED0D,1502474277,9A34ECDEA99E,2,30,-56,-57.0333,0.490132
5D358CDAED0D,1502474277,6392B6C5FB53,2,29,-44,-44.0,0.0
5D358CDAED0D,1502474277,459F7A08D5D7,2,28,-68,-70.1071,1.25725
5D358CDAED0D,1502474277,DAD655CD510A,2,29,-54,-54.5172,0.508548
5D358CDAED0D,1502474337,9A34ECDEA99E,2,30,-56,-57.0667,0.980264
5D358CDAED0D,1502474337,6392B6C5FB53,2,29,-44,-44.0345,0.185695
5D358CDAED0D,1502474337,459F7A08D5D7,2,28,-66,-69.5,1.52752
5D358CDAED0D,1502474337,DAD655CD510A,2,29,-52,-54.1034,0.673203
5D358CDAED0D,1502474397,6392B6C5FB53,2,29,-43,-44.0,0.267261
5D358CDAED0D,1502474397,9A34ECDEA99E,2,30,-57,-58.3333,0.546672
5D358CDAED0D,1502474397,459F7A08D5D7,2,28,-68,-69.3214,0.904868
5D358CDAED0D,1502474397,DAD655CD510A,2,25,-53,-54.56,0.583095
5D358CDAED0D,1502474457,459F7A08D5D7,2,27,-67,-71.1481,1.9156
5D358CDAED0D,1502474457,9A34ECDEA99E,2,29,-57,-59.5517,1.3252
5D358CDAED0D,1502474457,6392B6C5FB53,2,30,-43,-44.1333,0.571347
5D358CDAED0D,1502474457,F9632B2DFC58,2,29,-67,-72.2414,2.41506
5D358CDAED0D,1502474517,459F7A08D5D7,2,28,-67,-70.7143,2.83963
5D358CDAED0D,1502474517,9A34ECDEA99E,2,29,-58,-59.2414,1.18488
5D358CDAED0D,1502474517,6392B6C5FB53,2,29,-43,-44.069,0.752665
5D358CDAED0D,1502474517,F9632B2DFC58,2,28,-70,-72.2143,1.83297
5D358CDAED0D,1502474517,459F7A08D5D7,2,28,-67,-70.7143,2.83963
5D358CDAED0D,1502474517,9A34ECDEA99E,2,29,-58,-59.2414,1.18488
5D358CDAED0D,1502474517,6392B6C5FB53,2,29,-43,-44.069,0.752665
5D358CDAED0D,1502474517,F9632B2DFC58,2,28,-70,-72.2143,1.83297
5D358CDAED0D,1502474577,459F7A08D5D7,2,24,-65,-67.7083,1.57367
5D358CDAED0D,1502474577,9A34ECDEA99E,2,24,-59,-59.5,0.589768
5D358CDAED0D,1502474577,6392B6C5FB53,2,25,-44,-44.64,0.860232
5D358CDAED0D,1502474577,F9632B2DFC58,2,22,-71,-72.2727,1.45346
5D358CDAED0D,1502474577,459F7A08D5D7,2,24,-65,-67.7083,1.57367
5D358CDAED0D,1502474577,9A34ECDEA99E,2,24,-59,-59.5,0.589768
5D358CDAED0D,1502474577,6392B6C5FB53,2,25,-44,-44.64,0.860232
5D358CDAED0D,1502474577,F9632B2DFC58,2,22,-71,-72.2727,1.45346
5D358CDAED0D,1502474637,F9632B2DFC58,2,20,-66,-70.5,2.01312
5D358CDAED0D,1502474637,9A34ECDEA99E,2,23,-59,-60.3043,1.22232
5D358CDAED0D,1502474637,6392B6C5FB53,2,23,-44,-44.2609,0.448976
5D358CDAED0D,1502474637,459F7A08D5D7,2,22,-65,-68.6818,2.35809
5D358CDAED0D,1502474637,F9632B2DFC58,2,20,-66,-70.5,2.01312
5D358CDAED0D,1502474637,9A34ECDEA99E,2,23,-59,-60.3043,1.22232
5D358CDAED0D,1502474637,6392B6C5FB53,2,23,-44,-44.2609,0.448976
5D358CDAED0D,1502474637,459F7A08D5D7,2,22,-65,-68.6818,2.35809
5D358CDAED0D,1502474697,9A34ECDEA99E,2,18,-59,-59.6667,0.594088
5D358CDAED0D,1502474697,6392B6C5FB53,2,19,-39,-43.9474,1.26814
5D358CDAED0D,1502474697,459F7A08D5D7,2,19,-66,-68.4211,1.57465
5D358CDAED0D,1502474697,F9632B2DFC58,2,19,-69,-71.4211,1.46499
5D358CDAED0D,1502474697,9A34ECDEA99E,2,18,-59,-59.6667,0.594088
5D358CDAED0D,1502474697,6392B6C5FB53,2,19,-39,-43.9474,1.26814
5D358CDAED0D,1502474697,459F7A08D5D7,2,19,-66,-68.4211,1.57465
5D358CDAED0D,1502474697,F9632B2DFC58,2,19,-69,-71.4211,1.46499
5D358CDAED0D,1502474757,9A34ECDEA99E,2,22,-58,-60.6364,1.49747
5D358CDAED0D,1502474757,6392B6C5FB53,2,21,-43,-44.2381,0.768425
5D358CDAED0D,1502474757,459F7A08D5D7,2,19,-67,-69.3158,1.41628
5D358CDAED0D,1502474757,F9632B2DFC58,2,22,-67,-69.5455,0.911684
5D358CDAED0D,1502474757,9A34ECDEA99E,2,22,-58,-60.6364,1.49747
5D358CDAED0D,1502474757,6392B6C5FB53,2,21,-43,-44.2381,0.768425
5D358CDAED0D,1502474757,459F7A08D5D7,2,19,-67,-69.3158,1.41628
5D358CDAED0D,1502474757,F9632B2DFC58,2,22,-67,-69.5455,0.911684
5D358CDAED0D,1502474817,459F7A08D5D7,2,12,-68,-69.0833,0.668558
5D358CDAED0D,1502474817,9A34ECDEA99E,2,11,-58,-59.5455,1.12815
5D358CDAED0D,1502474817,6392B6C5FB53,2,11,-44,-44.0,0.0
5D358CDAED0D,1502474817,F9632B2DFC58,2,10,-69,-70.6,0.843274
5D358CDAED0D,1502474817,459F7A08D5D7,2,12,-68,-69.0833,0.668558
5D358CDAED0D,1502474817,9A34ECDEA99E,2,11,-58,-59.5455,1.12815
5D358CDAED0D,1502474817,6392B6C5FB53,2,11,-44,-44.0,0.0
5D358CDAED0D,1502474817,F9632B2DFC58,2,10,-69,-70.6,0.843274
5D358CDAED0D,1502474877,459F7A08D5D7,2,15,-68,-68.8,0.414039
5D358CDAED0D,1502474877,F9632B2DFC58,2,13,-70,-71.0769,0.954073
5D358CDAED0D,1502474877,DAD655CD510A,2,10,-54,-54.0,0.0
5D358CDAED0D,1502474877,6392B6C5FB53,2,14,-43,-43.9286,0.267261
5D358CDAED0D,1502474877,459F7A08D5D7,2,15,-68,-68.8,0.414039
5D358CDAED0D,1502474877,F9632B2DFC58,2,13,-70,-71.0769,0.954073
5D358CDAED0D,1502474877,DAD655CD510A,2,10,-54,-54.0,0.0
5D358CDAED0D,1502474877,6392B6C5FB53,2,14,-43,-43.9286,0.267261
5D358CDAED0D,1502474937,6392B6C5FB53,2,30,-43,-43.8667,0.507417
5D358CDAED0D,1502474937,9A34ECDEA99E,2,29,-58,-59.3793,0.621852
5D358CDAED0D,1502474937,459F7A08D5D7,2,28,-68,-69.3214,0.611833
5D358CDAED0D,1502474937,F9632B2DFC58,2,29,-69,-70.931,0.923155
