F9632B2DFC58
source,time,hwid,type,samples,maxRSSI,mean,stddev
F9632B2DFC58,1502474624,6392B6C5FB53,2,29,-67,-68.4138,0.627763
F9632B2DFC58,1502474624,5D358CDAED0D,2,30,-67,-70.8667,2.28538
F9632B2DFC58,1502474624,459F7A08D5D7,2,25,-77,-79.0,1.1547
F9632B2DFC58,1502474624,9A34ECDEA99E,2,30,-69,-72.5667,1.7357
F9632B2DFC58,1502474624,6392B6C5FB53,2,29,-67,-68.4138,0.627763
F9632B2DFC58,1502474624,5D358CDAED0D,2,30,-67,-70.8667,2.28538
F9632B2DFC58,1502474624,459F7A08D5D7,2,25,-77,-79.0,1.1547
F9632B2DFC58,1502474624,9A34ECDEA99E,2,30,-69,-72.5667,1.7357
F9632B2DFC58,1502474624,6392B6C5FB53,2,29,-67,-68.4138,0.627763
F9632B2DFC58,1502474684,459F7A08D5D7,2,30,-77,-79.4667,1.38298
F9632B2DFC58,1502474684,5D358CDAED0D,2,29,-70,-71.2414,1.2437
F9632B2DFC58,1502474684,9A34ECDEA99E,2,29,-70,-71.3103,1.0725
F9632B2DFC58,1502474684,6392B6C5FB53,2,30,-67,-68.6667,0.884087
F9632B2DFC58,1502474684,459F7A08D5D7,2,30,-77,-79.4667,1.38298
F9632B2DFC58,1502474684,5D358CDAED0D,2,29,-70,-71.2414,1.2437
F9632B2DFC58,1502474684,9A34ECDEA99E,2,29,-70,-71.3103,1.0725
F9632B2DFC58,1502474684,6392B6C5FB53,2,30,-67,-68.6667,0.884087
F9632B2DFC58,1502474684,459F7A08D5D7,2,30,-77,-79.4667,1.38298
F9632B2DFC58,1502474684,5D358CDAED0D,2,29,-70,-71.2414,1.2437
F9632B2DFC58,1502474684,9A34ECDEA99E,2,29,-70,-71.3103,1.0725
F9632B2DFC58,1502474684,6392B6C5FB53,2,30,-67,-68.6667,0.884087
F9632B2DFC58,1502474744,459F7A08D5D7,2,27,-81,-84.3333,1.96116
F9632B2DFC58,1502474744,6392B6C5FB53,2,27,-67,-68.2963,0.823446
F9632B2DFC58,1502474744,9A34ECDEA99E,2,30,-68,-70.3333,1.93575
F9632B2DFC58,1502474744,5D358CDAED0D,2,27,-68,-69.2222,0.84732
F9632B2DFC58,1502474744,459F7A08D5D7,2,27,-81,-84.3333,1.96116
F9632B2DFC58,1502474744,6392B6C5FB53,2,27,-67,-68.2963,0.823446
F9632B2DFC58,1502474744,9A34ECDEA99E,2,30,-68,-70.3333,1.93575
F9632B2DFC58,1502474744,5D358CDAED0D,2,27,-68,-69.2222,0.84732
F9632B2DFC58,1502474804,459F7A08D5D7,2,27,-81,-84.0,1.35873
F9632B2DFC58,1502474804,5D358CDAED0D,2,27,-68,-70.1852,0.921409
F9632B2DFC58,1502474804,9A34ECDEA99E,2,28,-66,-68.7143,1.08379
F9632B2DFC58,1502474804,6392B6C5FB53,2,29,-66,-67.5172,0.82897
F9632B2DFC58,1502474804,459F7A08D5D7,2,27,-81,-84.0,1.35873
F9632B2DFC58,1502474804,5D358CDAED0D,2,27,-68,-70.1852,0.921409
F9632B2DFC58,1502474804,9A34ECDEA99E,2,28,-66,-68.7143,1.08379
F9632B2DFC58,1502474804,6392B6C5FB53,2,29,-66,-67.5172,0.82897
F9632B2DFC58,1502474864,459F7A08D5D7,2,19,-81,-86.4211,3.45311
F9632B2DFC58,1502474864,5D358CDAED0D,2,29,-69,-71.0,1.22474
F9632B2DFC58,1502474864,9A34ECDEA99E,2,27,-65,-68.9259,1.49167
F9632B2DFC58,1502474864,6392B6C5FB53,2,30,-66,-67.2333,0.85836
F9632B2DFC58,1502474864,459F7A08D5D7,2,19,-81,-86.4211,3.45311
F9632B2DFC58,1502474864,5D358CDAED0D,2,29,-69,-71.0,1.22474
F9632B2DFC58,1502474864,9A34ECDEA99E,2,27,-65,-68.9259,1.49167
