459F7A08D5D7
source,time,hwid,type,samples,maxRSSI,mean,stddev
459F7A08D5D7,1502473885,DAD655CD510A,2,21,-64,-65.4286,0.676123
459F7A08D5D7,1502473945,5D358CDAED0D,2,29,-66,-67.2069,1.42377
459F7A08D5D7,1502473945,9A34ECDEA99E,2,27,-76,-77.6296,1.59683
459F7A08D5D7,1502473945,6392B6C5FB53,2,28,-66,-67.7857,0.832539
459F7A08D5D7,1502473945,DAD655CD510A,2,21,-63,-65.5714,1.02818
459F7A08D5D7,1502473945,5D358CDAED0D,2,29,-66,-67.2069,1.42377
459F7A08D5D7,1502473945,9A34ECDEA99E,2,27,-76,-77.6296,1.59683
459F7A08D5D7,1502473945,6392B6C5FB53,2,28,-66,-67.7857,0.832539
459F7A08D5D7,1502473945,DAD655CD510A,2,21,-63,-65.5714,1.02818
459F7A08D5D7,1502474005,5D358CDAED0D,2,29,-66,-66.9655,0.981353
459F7A08D5D7,1502474005,9A34ECDEA99E,2,26,-78,-81.2308,2.04563
459F7A08D5D7,1502474005,6392B6C5FB53,2,30,-66,-68.0,1.17444
459F7A08D5D7,1502474005,DAD655CD510A,2,22,-65,-66.4091,0.666126
459F7A08D5D7,1502474005,5D358CDAED0D,2,29,-66,-66.9655,0.981353
459F7A08D5D7,1502474005,9A34ECDEA99E,2,26,-78,-81.2308,2.04563
459F7A08D5D7,1502474005,6392B6C5FB53,2,30,-66,-68.0,1.17444
459F7A08D5D7,1502474005,DAD655CD510A,2,22,-65,-66.4091,0.666126
459F7A08D5D7,1502474065,5D358CDAED0D,2,29,-66,-67.4483,1.02072
459F7A08D5D7,1502474065,9A34ECDEA99E,2,24,-75,-77.125,1.59653
459F7A08D5D7,1502474065,6392B6C5FB53,2,30,-66,-68.1667,0.985528
459F7A08D5D7,1502474065,DAD655CD510A,2,22,-65,-66.7727,1.02035
459F7A08D5D7,1502474065,5D358CDAED0D,2,29,-66,-67.4483,1.02072
459F7A08D5D7,1502474065,9A34ECDEA99E,2,24,-75,-77.125,1.59653
459F7A08D5D7,1502474065,6392B6C5FB53,2,30,-66,-68.1667,0.985528
459F7A08D5D7,1502474065,DAD655CD510A,2,22,-65,-66.7727,1.02035
459F7A08D5D7,1502474125,5D358CDAED0D,2,28,-67,-68.3929,0.566945
459F7A08D5D7,1502474125,9A34ECDEA99E,2,26,-75,-75.8462,0.833897
459F7A08D5D7,1502474125,6392B6C5FB53,2,27,-67,-69.1481,1.16697
459F7A08D5D7,1502474125,DAD655CD510A,2,20,-66,-67.4,0.680556
459F7A08D5D7,1502474125,5D358CDAED0D,2,28,-67,-68.3929,0.566945
459F7A08D5D7,1502474125,9A34ECDEA99E,2,26,-75,-75.8462,0.833897
459F7A08D5D7,1502474125,6392B6C5FB53,2,27,-67,-69.1481,1.16697
459F7A08D5D7,1502474125,DAD655CD510A,2,20,-66,-67.4,0.680556
459F7A08D5D7,1502474185,5D358CDAED0D,2,30,-66,-67.7,0.915385
